product_code,name,counted_litres,ledger_at_cutoff,system_now,moved_since_cutoff,moved_on_count_day,new_balance,change,tech_cleared,sheet_said_system_had
"FRAG_0001","Armani Woods",9,4100,4000,-100,,8900,4900,0,4000
"FRAG_0002","Allure",48,37100,47110,10010,yes,58010,10900,0,37100
"FRAG_0003","Adventure",69.5,80725,74200,-6525,yes,62975,-11225,9000,77875
"FRAG_0004","Ambrette, Magnolia & Chamomile",22,23100,23100,0,,22000,-1100,0,23100
"FRAG_0005","Australian Bush Lemon Myrtle",12,11300,11300,0,,12000,700,0,11300
"FRAG_0006","Australian Bush",32.5,23300,23300,0,,32500,9200,0,26600
"FRAG_0007","Australian Bush & Eucalyptus",16,20000,20000,0,,16000,-4000,0,19000
"FRAG_0008","Amalfi Coast",0,3000,3000,0,,0,-3000,0,3000
"FRAG_0009","Australian Bamboo grass",13,13000,13000,0,,13000,0,0,13000
"FRAG_0010","Avocado & Mint",7,11000,11000,0,,7000,-4000,0,11000
"FRAG_0011","Aqua Positano",45,38250,38250,0,,45000,6750,0,16950
"FRAG_0012","Baies ",15,16900,16900,0,,15000,-1900,0,16900
"FRAG_0013","Bois Secret",33,38000,37300,-700,,32300,-5000,0,37000
"FRAG_0014","Baccarat Rouge ( Jasmin and Dark woods)",80,105200,93200,-12000,yes,68000,-25200,14000,106800
"FRAG_0015","Beach Party",115,111800,108800,-3000,,112000,3200,0,116200
"FRAG_0016","Blue Bergamot",3,11251,11251,0,,3000,-8251,0,10251
"FRAG_0017","Black Orchid",51,68400,68400,0,,51000,-17400,0,68400
"FRAG_0018","Burberry Hero",27,17000,28000,11000,,38000,10000,0,28000
"FRAG_0019","Blue Ice",37,41250,40250,-1000,,36000,-4250,0,21250
"FRAG_0020","Blonde Woods & Cashmere",44,51600,51600,0,,44000,-7600,0,49600
"FRAG_0021","Bergamot and Oakmoss (Creed)",128.5,161750,155750,-6000,yes,122500,-33250,1000,117550
"FRAG_0022","Blue Grass",48,45000,48000,3000,,51000,3000,0,48000
"FRAG_0023","Blondewood",78,79000,78000,-1000,yes,77000,-1000,0,79000
"FRAG_0024","B Natural",0,-1000,0,1000,,1000,1000,0,0
"FRAG_0025","Bushwood",86,110000,109000,-1000,,85000,-24000,0,114000
"FRAG_0026","By The Fireplace",1,2300,2300,0,,1000,-1300,0,2300
"FRAG_0027","Fig Tree ",16,16000,11300,-4700,yes,11300,0,0,16000
"FRAG_0028","Christmas B",8,6300,6900,600,,8600,1700,0,6900
"FRAG_0029","Caju & Lime",118,133300,125300,-8000,,110000,-15300,0,133850
"FRAG_0030","Concerto",121,148350,125650,-22700,yes,98300,-27350,8000,140850
"FRAG_0031","Crossfit",21.5,19000,18600,-400,,21100,2500,0,19000
"FRAG_0032","Coconut Lime Punch ",81,80100,79300,-800,,80200,900,0,79100
"FRAG_0033","Chai Tea",20,19100,20100,1000,,21000,900,0,20100
"FRAG_0034","Christmas Night Xmas Pudding",32,26300,31700,5400,,37400,5700,0,31700
"FRAG_0035","Christmas Cedar",16,16000,16000,0,,16000,0,0,16000
"FRAG_0036","Clinique Happy",13,18000,16000,-2000,yes,11000,-5000,15000,17000
"FRAG_0037","Country Linen",49,72600,72200,-400,yes,48600,-23600,7000,71600
"FRAG_0038","Coffe Airfreshener ",20,20000,20000,0,,20000,0,0,20000
"FRAG_0039","Coco Mademoiselle",20,29000,29000,0,,20000,-9000,0,21000
"FRAG_0040","Citrus Bushwood B",93,82200,82200,0,,93000,10800,0,82200
"FRAG_0041","Cologne",0,14300,14300,0,,0,-14300,0,14300
"FRAG_0042","Campfire",19.5,13000,16000,3000,,22500,6500,0,16000
"FRAG_0043","Coast",13,10000,10000,0,,13000,3000,0,10000
"FRAG_0044","Cyrnos",19.5,11000,11000,0,,19500,8500,0,11000
"FRAG_0045","Dream",250,293700,282900,-10800,yes,239200,-43700,1000,291900
"FRAG_0046","Denim",11,12700,12700,0,,11000,-1700,0,12700
"FRAG_0047","Desert Flower",84,84400,82400,-2000,yes,82000,-400,0,84400
"FRAG_0048","Eucalyptus",0,0,0,0,,0,0,0,0
"FRAG_0049","Eucalyptus Citriodora",40,37800,10300,-27500,,12500,2200,0,10300
"FRAG_0050","EVE",10,53900,34000,-19900,,-9900,-43900,0,34000
"FRAG_0051","EO Blend (Essential Oil )",9,5000,5000,0,,9000,4000,0,7100
"FRAG_0052","Elevated Lotus Blossom + Lemon",5,5000,5000,0,,5000,0,0,5000
"FRAG_0053","Elevated Tokyo (Aman Haru)",80,181800,181800,0,,80000,-101800,0,181800
"FRAG_0054","Figuier ",27,47100,27100,-20000,yes,7000,-20100,0,47100
"FRAG_0055","Fresh Coffe",9,9500,9000,-500,,8500,-500,0,9000
"FRAG_0056","Fierce Type",10,12800,10900,-1900,,8100,-2800,0,10900
"FRAG_0057","Feu de Camp",130,184100,184100,0,,130000,-54100,0,184100
"FRAG_0058","Linen & Fig",95,107950,105950,-2000,,93000,-12950,0,57500
"FRAG_0059","Flower Bomb",18,13300,13300,0,,18000,4700,0,13300
"FRAG_0060","Fig, Jasmine & Santal",19,19000,19000,0,,19000,0,0,19000
"FRAG_0061","Floral Drop ",38.5,29250,29250,0,,38500,9250,0,29250
"FRAG_0062","Green",3,1000,1000,0,,3000,2000,0,1000
"FRAG_0063","Green Tea",29,29600,29600,0,,29000,-600,0,29000
"FRAG_0064","Green Tea and Lemongrass",14,14700,14700,0,,14000,-700,0,14000
"FRAG_0065","Ginger Flower",77,98000,98000,0,,77000,-21000,0,98000
"FRAG_0066","Givenchy Gentlemen ",15,15000,15000,0,,15000,0,0,15000
