line,sheet_name,match,product_code,db_name,db_unit,sheet_says_system_has,db_actually_has,counted_as_written,supplier_code
001,"Armani Woods","supplier code","FRAG_0001","Armani Woods","mL",4000,4000,9,"FIA231902"
002,"Allure","supplier code","FRAG_0002","Allure","mL",37100,47110,48,"SLC2600"
003,"Adventure","supplier code","FRAG_0003","Adventure","mL",77875,74200,69.5,"LUX1100"
004,"Ambrette, Magnolia & Chamomile","supplier code","FRAG_0004","Ambrette, Magnolia & Chamomile","mL",23100,23100,22,"SLC0803"
005,"Australian Bush Lemon Myrtle","supplier code","FRAG_0005","Australian Bush Lemon Myrtle","mL",11300,11300,12,"LUX1220"
006,"Australian Bush","name","FRAG_0006","Australian Bush","mL",26600,23300,32.5,"-"
007,"Australian Bush & Eucalyptus","supplier code","FRAG_0007","Australian Bush & Eucalyptus","mL",19000,20000,16,"FIA242846"
008,"Amalfi Coast","name","FRAG_0008","Amalfi Coast","mL",3000,3000,0,"-"
009,"Australian Bamboo grass","supplier code","FRAG_0009","Australian Bamboo grass","mL",13000,13000,13,"Lux0400"
010,"Avocado & Mint","supplier code","FRAG_0010","Avocado & Mint","mL",11000,11000,7,"LUX0783"
011,"Aqua Positano","supplier code","FRAG_0011","Aqua Positano","mL",16950,38250,45,"FIA241035"
012,"Baies","supplier code","FRAG_0012","Baies ","mL",16900,16900,15,"FIA213481"
013,"Bois Secret","supplier code","FRAG_0013","Bois Secret","mL",37000,38000,33,"LUX0929"
014,"Baccarat Rouge ( Jasmin and Dark woods)","supplier code","FRAG_0014","Baccarat Rouge ( Jasmin and Dark woods)","mL",106800,93200,80,"SLC0778"
015,"Beach Party","supplier code","FRAG_0015","Beach Party","mL",116200,108800,115,"LUX1189"
016,"Blue Bergamot","supplier code","FRAG_0016","Blue Bergamot","mL",10251,11251,3,"6133475"
017,"Black Orchid","supplier code","FRAG_0017","Black Orchid","mL",68400,68400,51,"FIA223423"
018,"Burberry Hero","supplier code","FRAG_0018","Burberry Hero","mL",28000,28000,27,"SLC2431"
019,"Blue Ice","supplier code","FRAG_0019","Blue Ice","mL",21250,40250,37,"FIA221772"
020,"Blonde Woods & Cashmere","supplier code","FRAG_0020","Blonde Woods & Cashmere","mL",49600,51600,44,"AA171829"
021,"Bergamot and Oakmoss (Creed)","supplier code","FRAG_0021","Bergamot and Oakmoss (Creed)","mL",117550,155750,128.5,"FIA213666"
022,"Blue Grass","supplier code","FRAG_0022","Blue Grass","mL",48000,48000,48,"FIA231317"
023,"Blondewood","supplier code","FRAG_0023","Blondewood","mL",79000,78000,78,"FIA250463"
024,"B Natural","supplier code","FRAG_0024","B Natural","mL",0,0,0,"FIA250716"
025,"Bushwood","supplier code","FRAG_0025","Bushwood","mL",114000,110000,86,"FIA223425"
026,"By The Fireplace","supplier code","FRAG_0026","By The Fireplace","mL",2300,2300,1,"FIA232061"
027,"Fig Tree","supplier code","FRAG_0027","Fig Tree ","mL",16000,12000,16,"FIA223441"
028,"Christmas B","supplier code","FRAG_0028","Christmas B","mL",6900,6900,8,"FIA251174"
029,"Caju & Lime","supplier code","FRAG_0029","Caju & Lime","mL",133850,125300,118,"LUX1545"
030,"Concerto","supplier code","FRAG_0030","Concerto","mL",140850,126350,121,"LUX0706"
031,"Crossfit","supplier code","FRAG_0031","Crossfit","mL",19000,18600,21.5,"FIA260033"
032,"Coconut Lime Punch","supplier code","FRAG_0032","Coconut Lime Punch ","mL",79100,79300,81,"LUX1036"
033,"Chai Tea","name","FRAG_0033","Chai Tea","mL",20100,20100,20,"-"
034,"Christmas Night Xmas Pudding","supplier code","FRAG_0034","Christmas Night Xmas Pudding","mL",31700,31700,32,"WO0028199 -20267"
035,"Christmas Cedar","name","FRAG_0035","Christmas Cedar","mL",16000,16000,16,"-"
036,"Clinique Happy","supplier code","FRAG_0036","Clinique Happy","mL",17000,16000,13,"LUX1186"
037,"Country Linen","supplier code","FRAG_0037","Country Linen","mL",71600,72200,49,"LUX1188"
038,"Coffe Airfreshener","supplier code","FRAG_0038","Coffe Airfreshener ","mL",20000,20000,20,"FIA220415"
039,"Coco Mademoiselle","name","FRAG_0039","Coco Mademoiselle","mL",21000,29000,20,"FH20376880 FIA211"
040,"Citrus Bushwood B","supplier code","FRAG_0040","Citrus Bushwood B","mL",82200,82200,93,"FIA231263"
041,"Cologne","supplier code","FRAG_0041","Cologne","mL",14300,14300,0,"FH20376931"
042,"Campfire","supplier code","FRAG_0042","Campfire","mL",16000,16000,19.5,"FIA230279"
043,"Coast","supplier code","FRAG_0043","Coast","mL",10000,10000,13,"FIA250654"
044,"Cyrnos","supplier code","FRAG_0044","Cyrnos","mL",11000,11000,19.5,"FIA213958"
045,"Dream","supplier code","FRAG_0045","Dream","mL",291900,285300,250,"LUX1073"
046,"Denim","supplier code","FRAG_0046","Denim","mL",12700,12700,11,"FIA224008"
047,"Desert Flower","supplier code","FRAG_0047","Desert Flower","mL",84400,82400,84,"FIA250462"
048,"Eucalyptus","name","FRAG_0048","Eucalyptus","mL",0,0,0,"-"
049,"Eucalyptus Citriodora","name","FRAG_0049","Eucalyptus Citriodora","mL",10300,10300,40,"-"
050,"EVE","supplier code","FRAG_0050","EVE","mL",34000,34000,10,"SLC1946"
051,"EO Blend (Essential Oil)","supplier code","FRAG_0051","EO Blend (Essential Oil )","mL",7100,5000,9,"FIA242843"
052,"Elevated Lotus Blossom + Lemon","supplier code + name","FRAG_0052","Elevated Lotus Blossom + Lemon","mL",5000,5000,5,"FIA231877"
053,"Elevated Tokyo (Aman Haru)","supplier code + name","FRAG_0053","Elevated Tokyo (Aman Haru)","mL",181800,181800,80,"FIA231877"
054,"Figuier","supplier code","FRAG_0054","Figuier ","mL",47100,27100,27,"LUX0438"
