product_code,fragrance,supplier_code,unit,before_ml,counted_ml,after_ml,change_ml,before_L,counted_L,after_L,change_L,technician_stock_cleared_ml,status
"FRAG_0053","Elevated Tokyo (Aman Haru)","FIA231877",mL,181800,80000,80000,-101800,181.8,80.0,80.0,-101.8,0,"adjusted"
"FRAG_0078","Jardin de Carthage","Lux0639",mL,241900,166000,151300,-90600,241.9,166.0,151.3,-90.6,20000,"adjusted"
"FRAG_0057","Feu de Camp","FIA242164",mL,184100,130000,130000,-54100,184.1,130.0,130.0,-54.1,0,"adjusted"
"FRAG_0137","Santal 33 Style A (Black)","FIA211503",mL,306550,299000,254100,-52450,306.6,299.0,254.1,-52.5,10000,"adjusted"
"FRAG_0161","White Tea","LUX0593",mL,180850,140000,135000,-45850,180.8,140.0,135.0,-45.9,17000,"adjusted"
"FRAG_0050","EVE","SLC1946",mL,34000,10000,-9900,-43900,34.0,10.0,-9.9,-43.9,0,"adjusted"
"FRAG_0045","Dream","LUX1073",mL,282900,250000,239200,-43700,282.9,250.0,239.2,-43.7,1000,"adjusted"
"FRAG_0099","Miami Strong","FIA222066",mL,152350,190000,186600,34250,152.3,190.0,186.6,34.3,0,"adjusted"
"FRAG_0021","Bergamot and Oakmoss (Creed)","FIA213666",mL,155750,128500,122500,-33250,155.8,128.5,122.5,-33.3,1000,"adjusted"
"FRAG_0120","Querces","LUX0736",mL,200900,170000,168200,-32700,200.9,170.0,168.2,-32.7,20000,"adjusted"
"FRAG_0101","Miami Woods","FIA242633",mL,89400,121000,118000,28600,89.4,121.0,118.0,28.6,0,"adjusted"
"FRAG_0030","Concerto","LUX0706",mL,125650,121000,98300,-27350,125.7,121.0,98.3,-27.4,8000,"adjusted"
"FRAG_0118","Pepperwood","FIA223424",mL,194650,170000,167300,-27350,194.7,170.0,167.3,-27.4,27000,"adjusted"
"FRAG_0132","Special Santal","SLC2775  or Special Area Blue Drum",mL,28000,28000,54500,26500,28.0,28.0,54.5,26.5,0,"adjusted"
"FRAG_0136","Sensual Woods","Lux864",mL,159100,138000,132800,-26300,159.1,138.0,132.8,-26.3,30000,"adjusted"
"FRAG_0014","Baccarat Rouge ( Jasmin and Dark woods)","SLC0778",mL,93200,80000,68000,-25200,93.2,80.0,68.0,-25.2,14000,"adjusted"
"FRAG_0025","Bushwood","FIA223425",mL,109000,86000,85000,-24000,109.0,86.0,85.0,-24.0,0,"adjusted"
"FRAG_0037","Country Linen","LUX1188",mL,72200,49000,48600,-23600,72.2,49.0,48.6,-23.6,7000,"adjusted"
"FRAG_0103","New Hope","FIA223464",mL,31000,37000,52400,21400,31.0,37.0,52.4,21.4,0,"adjusted"
"FRAG_0065","Ginger Flower","LUX0362",mL,98000,77000,77000,-21000,98.0,77.0,77.0,-21.0,0,"adjusted"
"FRAG_0054","Figuier ","LUX0438",mL,27100,27000,7000,-20100,27.1,27.0,7.0,-20.1,0,"adjusted"
"FRAG_0017","Black Orchid","FIA223423",mL,68400,51000,51000,-17400,68.4,51.0,51.0,-17.4,0,"adjusted"
"FRAG_0069","Grape Chupa Chup","FIA222907",mL,101550,85000,85000,-16550,101.5,85.0,85.0,-16.6,0,"adjusted"
"FRAG_0029","Caju & Lime","LUX1545",mL,125300,118000,110000,-15300,125.3,118.0,110.0,-15.3,0,"adjusted"
"FRAG_0140","Santal and White Tea","FIA241193",mL,81750,67000,67000,-14750,81.8,67.0,67.0,-14.8,14000,"adjusted"
"FRAG_0168","White Tea & Bamboo","FIA242839",mL,45400,60000,60000,14600,45.4,60.0,60.0,14.6,0,"adjusted"
